Date,Site,Sample,TOC,UV254,Temperature,pH,Turbidity,Br,EC,BOD,COD,DO,SS,NH3-N,Biopolymer,HS,BB,LMWN,THMFP,HAAFP
18-Jul,M8,왜관,5.7,,22.2,7.5,23.5,0.018,174,5.2,8.5,9.1,28,0.03,192.19,3733.969,816.086,530.869,0.228,0.514
18-Jul,M9,고령(취),5.7,,20.9,7.2,42.4,0.013,462,5.1,8.6,11.2,38.2,0.04,187.68,3503.957,817.852,481.636,0.23,0.551
18-Jul,M10,달성,5.7,,22,7.6,38.4,0.015,182,4.8,8.2,9.7,26,0.03,132.497,3541.497,861.832,483.357,0.197,0.445
18-Jul,M11,고령,5.1,,21.9,7.5,11.8,0.021,224,4,7.6,8.6,12,0.02,187.773,3280.538,657.973,503.208,0.2,0.361
18-Jul,M12,용산,5.1,,22.1,7.4,18.7,0.017,182,4,7.6,8.5,14.6,0.03,166.434,3376.864,609.391,483.264,0.203,0.368
18-Jul,M13,남지,4.1,,22.4,7.1,11.8,0.02,237,3.3,6.4,10.5,12.4,0.02,106.276,2145.703,882.055,393.166,0.2,0.33
18-Jul,M14,본포,3.8,,22.6,7.1,25.5,0.031,388,1.4,5.3,11,44,0.02,197.815,1802.974,857.973,356.392,0.148,0.18
18-Jul,M15,삼량진,4.6,,22.3,7.4,22.6,0.017,164,4.6,7.5,8.4,19,0.02,183.078,3129.783,668.247,487.959,0.19,0.341
18-Jul,M16,물금,4.6,,22.1,7.3,18.5,0.017,172,4.4,7.3,8,13,0.01,181.265,3049.174,626.546,464.342,0.201,0.313
18-Jul,M17,구포,4.6,,22.1,7.6,15.7,0.017,168,4,7,8.7,20,0.02,195.583,2982.435,622.362,437.657,0.174,0.299
18-Jul,M18,하구둑,3.6,,22.5,7.1,4.25,0.049,386,3.2,6.5,10.6,14,0.01,288.563,1535.447,835.425,429.242,0.116,0.164
18-Jul,T1,위천6,5,,22.1,7.6,7.37,0.018,242,4.3,7.3,7.7,8.9,0.03,117.713,2770.333,1157.927,509.437,0.157,0.343
18-Jul,T2,감천2-1,2.8,,20.6,7.7,4,0.023,246,1.4,4,8.4,8.6,0.01,52.999,1381.839,573.129,329.754,0.086,0.135
18-Jul,T3,금호강,4.2,,21.2,7.6,3.96,0.038,361,2.7,5.9,7.8,4.8,0.04,163.924,2058.63,984.286,445.002,0.16,0.213
18-Jul,T4,회천,5.5,,22.2,7.5,16,0.02,202,4.3,8.1,9.2,12.2,0.03,201.348,3438.5,650.86,500.418,0.166,0.401
18-Jul,T5,황강,2.2,,20.6,7.7,5.08,0.016,159,0.6,3,8.7,9.8,0.01,69.596,989.562,551.743,233.891,0.074,0.137
18-Jul,T6,밀양강3,2.2,,21.6,7.7,2.31,0.021,169,1.7,4.4,8.6,5.4,0.03,98.326,1055.607,542.306,335.751,0.081,0.123
18-Aug,M1,안동호,2.7,,30.5,9.1,0.83,0.018,202,0.7,5.1,10.3,0.8,0.04,627.894,886.455,579.498,191.864,0.042,0.049
18-Aug,M2,임하호,4.4,,31,8.8,1.16,0.016,359,1,6.9,9.8,1.8,0.1,363.784,2001.506,1102.139,361.227,0.123,0.164
18-Aug,M3,예천,3.7,,25.8,7.5,9.43,0.014,330,0.5,6.6,7.8,16.6,0.02,188.517,1810.2,779.172,305.951,0.292,0.18
18-Aug,M4,상주,2.7,,29.6,8.2,1.42,0.02,222,0.5,5.7,8.7,2,0.03,134.403,1136.498,568.573,232.775,0.229,0.099
18-Aug,M5,낙단보,3.8,,31,7.9,3.04,0.021,217,1.2,6.5,6.6,2.8,0.12,248.722,1737.171,757.694,330.172,0.429,0.15
18-Aug,M6,해평,3.4,,30.7,8.3,10.4,0.022,222,1.4,6.4,9.8,11.6,0.02,357.183,1362.691,665.365,312.413,0.389,0.197
18-Aug,M7,구미,3.7,,32.3,9,3.59,0.039,257,2,8,9.5,6,0.13,309.112,1439.996,700.279,324.919,0.285,0.166
18-Aug,M8,왜관,3.9,,30.4,8.5,5.46,0.057,290,2,7.1,7.8,6.8,0.18,282.427,1611.254,821.199,394.793,0.514,0.203
18-Aug,M9,고령(취),3.8,,29.8,8.1,4.06,0.061,302,0.5,8.9,9.8,4.4,0.04,389.261,2090.632,892.097,444.351,0.551,0.178
18-Aug,M10,달성,4.3,,29.9,8.6,4.89,0.062,296,1.5,7,8.4,6.8,0.15,296.885,2032.51,1048.907,433.519,0.445,0.235
18-Aug,M11,고령,4.7,,30.3,8.9,8.35,0.05,345,1.7,8.9,9.2,8.4,0.27,375.035,1948.825,983.682,437.517,0.361,0.233
18-Aug,M12,용산,5,,29.2,9.9,20.7,0.043,369,1.3,11.7,9.4,18.6,0.08,400.279,2077.519,929.01,474.57,0.368,0.038
18-Aug,M13,남지,4.4,,29.5,9.6,21.1,0.047,309,2.8,13.7,11,20.4,0.12,468.573,1863.48,916.876,446.118,0.33,0.03
18-Aug,M14,본포,4.7,,30,8.9,14,0.023,231,11.8,14.3,10.1,43,0.45,1568.945,2359.121,1469.084,993.305,0.18,0.036
18-Aug,M15,삼량진,4.5,,28.9,9.2,15.2,0.033,237,2.3,9.8,7.7,17.2,0.05,322.92,1974.344,781.172,388.145,0.341,0.019
18-Aug,M16,물금,4.8,,28.2,9.2,71.5,0.025,228,8.9,16.9,8,52.4,0.12,708.74,2124.613,1109.159,721.618,0.313,0.066
18-Aug,M17,구포,5,,26.2,8.8,27.5,0.036,236,9.2,14.4,7.4,33.6,0.22,435.797,2080.261,925.709,559.321,0.299,0.061
18-Aug,M18,하구둑,5.1,,30.2,9.3,16.1,0.099,313,1.8,11.1,10.2,10.8,0.19,443.654,2126.654,1078.103,603.394,0.164,0.034
18-Aug,T1,위천6,4.4,,32.2,8.9,7.22,0.023,247,1.8,9.4,9.4,8.6,0.12,444.119,1884.213,883.264,425.848,0.343,0.196
18-Aug,T2,감천2-1,2.7,,31.8,8.4,2.16,0.057,410,0.7,5.8,9.5,5.2,0.04,130.73,986.463,562.064,344.584,0.135,0.096
18-Aug,T3,금호강,5,,31.1,9.1,4.37,0.093,692,2,8,12.7,10.2,0.21,377.685,1952.081,1246.444,617.062,0.213,0.283
18-Aug,T4,회천,5.7,,30.6,9.7,280,0.041,406,13.6,60.9,14,148,0.29,6102.325,5525.961,5329.056,3806.741,0.401,0.082
18-Aug,T5,황강,2,,20.9,8.2,10.3,0.02,147,0.3,3.8,9,13.6,0.1,119.619,755.897,367.271,201.395,0.137,0.026
18-Aug,T6,밀양강3,3.4,,29.6,8.6,8.29,0.042,240,0.8,5.9,8.1,12,0.19,378.615,1109.074,558.066,331.102,0.123,0.041
