Date,Site,Sample,TOC,UV254,Temperature,pH,Turbidity,Br,EC,BOD,COD,DO,SS,NH3-N,Biopolymer,HS,BB,LMWN,THMFP,HAAFP
17-Aug,M8,왜관,3.5,0.121815067,28.4,6.9,5.13,0.016,192,0.6,5.2,8.7,4.4,0.02,103.161,1744.645,903.998,403.952,0.127,0.198
17-Aug,M9,고령원수,3.9,0.138234299,26,7.3,10.55,0.019,192,1.2,4.4,8.5,6.2,0.005,110.367,1905.9,913.296,397.629,0.127,0.24
17-Aug,M10,달성,3.9,0.137686991,28.4,5.2,10.4,0.018,189,0.6,5.2,9.6,4.2,0.005,149.605,2031.548,993.677,437.053,0.146,0.232
17-Aug,M11,고령,3.8,0.134481332,28.8,7.8,14.6,0.024,231,1.1,5.8,9.5,1.2,0.02,118.317,1799.423,957.88,235.239,0.137,0.214
17-Aug,M12,용산,3.4,0.125255287,28.7,7.9,6.24,0.024,251,0.8,4.4,9.4,1.6,0.02,141.748,1798.853,841.423,477.406,0.118,0.161
17-Aug,M13,남지,3.6,0.138625233,29.6,7.8,8.38,0.028,228,0.7,4.2,8.9,0.8,0.03,229.056,1706.1,928.405,462.25,0.107,0.196
17-Aug,M14,반송원수,3.6,0.123613364,28.2,7.3,12.1,0.029,280,0.6,4.2,8.4,4.2,0.005,192.887,1634.602,855.927,447.513,0.129,0.198
17-Aug,M15,삼량진,3.5,0.123066056,29,7.8,10.3,0.03,233,1.1,5.5,8.3,2.4,0.01,201.395,1731.769,951.278,552.162,0.129,0.188
17-Aug,M16,물금,3.5,0.12494254,29.3,8.1,8.79,0.032,247,1.1,4.1,8.4,1.4,0.005,197.118,1678.736,947.838,500.279,0.123,0.19
17-Aug,M17,구포,3.6,0.122362374,28,8.2,5.9,0.029,245,0.9,5.5,7.8,1.2,0.02,137.285,1677.429,919.572,426.546,0.134,0.163
17-Aug,M18,하구둑,3.8,0.141674519,28.3,7.6,3.62,0.032,232,2,5.8,8,1.6,0.04,306.648,1894.283,1068.34,580.056,0.131,0.218
17-Aug,T1,위천6,4.8,0.157546444,29.9,7.8,2.44,0.033,292,0.7,7.4,8.2,1.8,0.03,107.95,2430.239,1243.794,476.058,0.189,0.256
17-Aug,T2,감천2-1,3.6,0.115794682,27.7,7.6,1.78,0.02,225,0.5,5,7.4,4.4,0.02,97.164,1553.341,790.888,350.628,0.119,0.189
17-Aug,T3,금호강6,4,0.139641662,30,7.9,10,0,550,0.3,7.5,8.2,3.4,0.05,176.197,1686.399,1111.437,570.804,0.144,0.193
17-Aug,T4,회천2-1,3.6,0.126428089,29.3,7.9,9.62,0.022,230,0.8,6.1,9.5,1.2,0.03,146.351,1783.353,894.933,357.462,0.135,0.209
17-Aug,T5,황강5,1.9,0.064738688,30.8,7.9,3.94,0.018,162,0.5,4.2,7.8,0.6,0.02,159.786,850.36,502.046,312.599,0.069,0.096
17-Aug,T6,밀양강3,2.9,0.105864955,29.7,8.2,0.62,0.022,210,0.7,4.9,8.8,0.8,0.03,149.884,1318.614,744.63,452.069,0.096,0.14
17-Sep,M1,안동호,2.9,0.063174951,18,7.9,0.62,0.014,212,0.6,2.8,8.8,0.4,0.04,325.477,1161.402,673.036,397.954,0.092,0.127
17-Sep,M2,임하호,4.6,0.138625233,21,7.9,1.55,0.003,200,0.4,4.6,8.8,1.8,0.03,290.098,2444.013,1136.588,678.522,0.007,
17-Sep,M3,예천,2.7,0.078890502,21.8,7.7,1.54,0.011,271,0.8,4.1,8.4,2.2,0.02,125.523,1272.537,691.12,302.836,0.113,0.161
17-Sep,M4,상주,2.5,0.075293908,21.7,7.4,3.54,0.012,231,0.4,3.8,8.2,0.8,0.03,112.878,1092.176,597.35,387.448,0.104,0.153
17-Sep,M5,낙단보,2.3,0.066536984,23.7,8.5,2.56,0.024,313,0.7,4.7,9.3,4,0.13,172.431,1012.708,595.258,359.554,0.109,0.133
17-Sep,M6,해평,2.4,0.064269567,24,7.9,5.63,0.022,246,0.6,4.1,8.9,5.4,0.05,162.25,1100.549,649.512,422.083,0.097,0.155
17-Sep,M7,구미,2.6,0.069195336,25.2,8.7,1.93,0.048,368,1,5,10.1,3,0.14,210.367,1093.943,762.25,458.205,0.099,0.131
17-Sep,M8,왜관,2.5,0.072088249,24.5,8.5,1.68,0.035,339,1.2,4.9,9.5,2,0.08,202.371,1109.376,690.981,425.058,0.103,0.139
17-Sep,M9,고령(취),2.6,0.075841216,23,7.7,3.3,0.038,252,0.5,4.1,8.9,1,0.02,185.449,1276.212,701.72,406.881,0.104,0.127
17-Sep,M10,달성,2.8,0.084989074,25.2,8.7,4.29,0.029,457,0.6,5.3,10.5,6.8,0.15,271.502,1279.42,767.225,460.623,0.132,0.168
17-Sep,M11,고령,3.3,0.096091603,26.1,8.8,1.84,0.056,487,1.6,6,10.4,10,0.17,313.529,1319.111,855.602,363.645,0.169,0.216
17-Sep,M12,용산,3.2,0.092338635,25.4,9.2,1.84,0.042,330,2,4.1,11.9,6,0.08,364.668,1407.347,927.615,549.186,0.131,0.196
17-Sep,M13,남지,3.2,0.083816272,25.4,9.3,1.95,0.047,288,1.4,4.1,12.6,9.6,0.12,431.381,1409.495,837.146,518.596,0.176,0.238
17-Sep,M14,본포,3.1,0.09296413,24.3,8.7,26.8,0.038,325,0.9,3.5,9.1,6.8,0.04,256.997,1445.285,852.952,638.261,0.146,0.218
17-Sep,M15,삼량진,3.4,0.095309735,23.6,9.3,3.06,0.035,299,1.9,5.3,10.6,7.8,0.08,425.895,1449.092,865.272,706.369,0.163,0.226
17-Sep,M16,물금,3.3,0.102502922,24.3,8.9,1.94,0.033,273,2.6,4.4,9,2.6,0.06,317.666,1490.743,868.945,479.498,0.137,0.194
17-Sep,M17,구포,3.4,0.097029845,22.8,8.8,1.9,0.036,273,2.2,4.6,9,2.8,0.04,308.322,1585.708,922.408,480.428,0.15,0.187
17-Sep,M18,하구둑,3.5,0.099140889,26,7.7,0.9,0.08,312,2,5.1,8.7,1.2,0.09,337.378,1565.172,970.014,625.384,0.167,0.179
17-Sep,T1,위천6,3.1,0.085927316,23.6,7.9,3.69,0.03,377,2,5.7,9.3,5.6,0.1,164.807,1386.069,860.298,520.921,0.132,0.185
17-Sep,T2,감천2-1,2.9,0.095700669,22.1,7.5,1.3,0.015,329,0.7,4.7,8.1,7.8,0.02,123.199,1279.589,747.048,515.295,0.108,0.189
17-Sep,T3,금호강,3.9,0.119156715,24.3,7.6,3.78,0,662,3.1,5.6,7.2,5.2,0.73,251.511,1366.866,1085.309,520.456,0.161,0.181
17-Sep,T4,회천,3.3,0.094371493,27.1,8.9,1.39,0.048,394,2,5.4,11.1,1.8,0.08,299.489,1387.569,880.521,445.374,0.119,0.15
17-Sep,T5,황강,2.2,0.074355667,25.8,7.8,2.48,0.027,206,0.2,4.7,8.9,3.8,0.02,143.933,997.409,542.352,408.275,0.095,0.133
17-Sep,T6,밀양강3,2.5,0.064113193,23.8,9.3,2.63,0.04,265,2.1,5,11.5,13.4,0.13,305.718,794.669,640.539,430.776,0.131,0.188
17-Oct,M1,안동호,2.4,0.06591149,17,6.7,1.1,0.006,205,0.8,4,5.3,1,0.005,158.856,1056.806,616.829,209.763,0.074,0.095
17-Oct,M2,임하호,4.2,0.134872266,19.3,7.8,2.42,0.002,212,0.4,6.4,7.5,4.2,0.005,256.16,2233.658,1045.002,392.515,0.143,0.199
17-Oct,M3,예천,2.1,0.059656544,15,7.8,0.65,0.014,250,0.6,3.3,10.3,1,0.005,114.551,867.366,615.435,289.447,0.069,0.081
17-Oct,M4,상주,1.8,0.049492258,15.5,7.9,0.54,0.017,271,0.4,4.9,10.6,1.2,0.005,84.426,741.921,456.113,263.877,0.058,0.064
17-Oct,M5,낙단보,2.2,0.06442594,17.6,8.2,3.71,0.021,293,0.8,3,10.4,7,0.03,140.725,913.593,583.031,256.578,0.089,0.125
17-Oct,M6,해평,2.3,0.063565885,18,7.9,9.47,0.021,267,1,5.7,11,9.6,0.03,170.339,1022.436,537.936,289.307,0.09,0.121
17-Oct,M7,구미,2.5,0.068335281,19.2,8.5,2.79,0.046,440,1.4,5.3,11.1,7,0.07,165.132,1028.281,649.884,351.836,0.096,0.12
17-Oct,M8,왜관,2.6,0.072479183,19.4,8.6,2.41,0.036,335,1.1,5.2,10.8,6.2,0.02,170.2,1058.322,661.692,356.95,0.097,0.125
17-Oct,M9,고령(취),2.7,0.071619128,17,7.8,5.26,0.038,296,0.7,4.3,11.2,7.4,0.06,171.688,1049.492,642.724,293.026,0.092,0.113
17-Oct,M10,달성,2.5,0.067553413,18.3,8.3,2.83,0.035,310,0.5,5.6,10.8,7,0.02,185.681,1053.549,721.246,375.825,0.091,0.11
17-Oct,M11,고령,3,0.079828744,19.1,8.8,2.02,0.054,458,1.8,6.2,12.7,5.2,0.05,244.491,1249.06,673.082,387.169,0.114,0.126
17-Oct,M12,용산,2.8,0.075841216,17.5,8.6,1.81,0.047,481,2.1,4.2,11.1,2.8,0.03,314.784,1067.446,750.302,345.839,0.097,0.103
17-Oct,M13,남지,3.1,0.083347151,17.4,9,3.23,0.048,326,1.4,4.4,12.2,9.8,0.005,332.497,1068.313,749.651,400,0.108,0.115
17-Oct,M14,본포,2.7,0.07279193,18.9,8.1,10.8,0.049,379,1.1,3.6,11.3,7,0.04,267.689,1069.031,715.528,425.012,0.094,0.115
17-Oct,M15,삼량진,3,0.081314294,17.5,8.2,3.48,0.042,416,2.2,5.6,9.6,3.8,0.1,284.1,1096.237,774.709,445.793,0.1,0.125
17-Oct,M16,물금,3,0.078499568,17.6,7.9,4.45,0.039,352,2.6,4.5,9.5,5.4,0.11,303.161,1182.264,765.69,468.666,0.108,0.133
17-Oct,M17,구포,3.4,0.087178305,18.9,8.6,5.16,0.046,363,2.6,4.8,10.4,7,0.06,352.766,1217.806,857.787,400,0.122,0.137
17-Oct,M18,하구둑,3.2,0.096013416,20,7.7,2.53,0.242,375,2.6,5.2,11.4,3,0.15,408.415,1261.835,952.022,409.066,0.136,0.1
17-Oct,T1,위천6,3.2,0.094840614,16.7,8.3,1.88,0.043,396,2.2,4.7,11.6,3.2,0.03,152.766,1409.48,855.649,386.285,0.106,0.132
17-Oct,T2,감천2-1,1.9,0.052541544,16.7,8,1.03,0.02,420,0.7,5.2,10.6,0.2,0.005,46.49,729.376,416.039,286.564,0.054,0.059
17-Oct,T3,금호강,4,0.122127814,18,8.7,6.42,,1058,3.2,5.8,13.7,7.4,0.06,289.028,1538.999,1111.065,675.314,0.139,0.147
17-Oct,T4,회천,3,0.081861601,19.3,8.5,1.84,0.055,483,2,5.6,11.6,2.2,0.06,326.313,1113.153,864.575,397.722,0.104,0.112
17-Oct,T5,황강,1.2,0.027443574,18.4,8.2,1.12,0.016,233,0.7,4.9,10,1.2,0.005,45.235,395.73,299.163,187.913,0.032,0.034
17-Oct,T6,밀양강3,2.1,0.053948906,16.8,8.7,2.8,0.031,356,2.2,5.3,12.5,6.4,0.03,205.253,691.869,465.504,354.765,0.075,0.092
17-Nov,M1,안동호,2.2,0.049961378,5.9,7.7,1.54,0.007,200,0.8,3.7,12.2,3.4,0.005,147.466,955.699,508.74,1374.988,0.054,0.078
17-Nov,M2,임하호,3.8,0.106947831,6,7.6,2.56,0.002,209,0.7,4.8,12,3.2,0.01,210.042,1876.268,881.218,1354.719,0.097,0.132
17-Nov,M3,예천,2.5,0.055043522,6.3,7.5,0.6,0.013,306,0.4,3.1,12.6,1.4,0.005,158.903,1102.018,640.632,2010.135,0.056,0.09
17-Nov,M4,상주,2.4,0.059734731,5.3,7.6,0.52,0.019,333,0.5,4.8,13,2,0.01,142.678,1146.686,603.952,1697.954,0.059,0.088
17-Nov,M5,낙단보,2,0.044069191,9.2,8.2,3.51,0.022,319,0.7,3.3,11.8,6.6,0.08,137.331,740.4,526.081,1367.411,0.047,0.078
17-Nov,M6,해평,2.2,0.048887359,10,8,13.34,0.026,288,1.4,5.4,12.1,6.6,0.05,140.493,846.438,529.521,1541.562,0.055,0.087
17-Nov,M7,구미,2.4,0.055199895,9.9,7.9,1.13,0.062,450,1.3,5.3,11.4,2.8,0.15,169.828,989.034,644.444,1636.169,0.063,0.084
17-Nov,M8,왜관,2.7,0.063018578,10.2,7.9,2.02,0.064,449,1.2,5,12.2,3.4,0.17,162.483,974.463,681.358,1835.751,0.071,0.095
17-Nov,M9,고령(취),2.6,0.061298467,11,8.5,0.59,0.048,325,0.8,4.8,12.2,2.2,0.04,204.091,1038.244,735.239,2203.626,0.066,0.096
17-Nov,M10,달성,2.7,0.065207809,11,8.1,0.75,0.044,378,1,5.5,13,2.2,0.08,262.529,1148.04,721.199,2039.331,0.067,0.09
17-Nov,M11,고령,3.2,0.081548854,10.9,8.3,1.6,0.086,574,2.1,6,12.4,4,0.09,278.429,1385.586,761.227,1955.974,0.087,0.125
17-Nov,M12,용산,3,0.073495612,10.6,7.7,1.15,0.059,513,1.6,4.1,11.2,1.8,0.07,286.843,1070.689,863.366,1881.543,0.077,0.105
17-Nov,M13,남지,2.8,0.060907533,10.5,8,1.2,0.071,394,1.8,4.7,11.5,3.8,0.12,247.187,866.377,625.477,1409.809,0.086,0.122
17-Nov,M14,본포,2.7,0.063878633,14.3,8.1,1.7,0.081,378,0.8,4.5,12.1,5,0.03,264.296,910.457,734.077,1196.467,0.086,0.12
17-Nov,M15,삼량진,3.1,0.062549457,10.7,8.1,4.8,0.088,373,1.7,5.4,11.7,5,0.07,351.65,1061.593,720.177,1291.399,0.085,0.119
17-Nov,M16,물금,2.8,0.074902974,11.6,7.6,0.5,0.071,380,1.9,4.7,10.4,3,0.16,340.772,1065.309,794.514,1344.212,0.074,0.109
17-Nov,M17,구포,2.8,0.072400996,9.5,8,0.98,0.052,369,1.6,5.2,12,0.2,0.07,323.989,1108.507,770.339,1332.589,0.074,0.104
17-Nov,M18,하구둑,3.2,0.082408909,9.8,7.9,0.7,0.302,750,1.6,5.1,12.1,4,0.12,344.444,1177.173,879.87,1323.477,0.137,0.074
17-Nov,T1,위천6,2.2,0.047693961,7.7,8.1,1.75,0.032,364,1.4,4.5,12.4,3.4,0.11,154.347,838.286,554.812,1794.096,0.054,0.085
17-Nov,T2,감천2-1,2.1,0.045895664,8.2,7.6,0.55,0.043,700,0.6,5.1,13,1.6,0.03,108.275,690.208,521.897,1487.866,0.043,0.056
17-Nov,T3,금호강,4,0.11165078,9.9,8.1,1.45,,1184,2.2,5.7,13.5,3.6,0.07,302.789,1393.016,1323.013,2040.679,0.102,0.11
17-Nov,T4,회천,3.1,0.076153963,11.1,7.7,0.26,0.094,532,1.7,5.6,10.8,2.2,0.15,311.855,1318.66,773.733,1619.433,0.075,0.095
17-Nov,T5,황강,1.1,0.020954068,8.8,7.6,0.39,0.023,242,1.7,4.7,12,1.2,0.005,56.16,387.237,233.333,844.073,0.025,0.033
17-Nov,T6,밀양강3,2.3,0.043315499,9.4,8.5,1.9,0.076,462,1.9,4.9,13.2,6.8,0.29,310.46,614.995,617.062,1522.222,0.064,0.086
17-Dec,M1,안동호,2.3,0.051446928,1,8,0.92,0.011,210,0.9,2.6,11.5,2,0.01,160.669,989.803,569.27,454.812,0.061,0.088
17-Dec,M2,임하호,3.6,0.108512203,0.9,7.9,1.21,0.01,211,0.8,1.7,11.4,1.4,0.005,182.055,1986.745,987.634,808.973,0.1,0.167
17-Dec,M3,예천,2.1,0.05066506,0.2,8,0.34,0.019,352,1.7,2.8,14.4,4.2,0.02,144.119,895.734,541.283,489.075,0.055,0.077
17-Dec,M4,상주,2,0.044644675,0.3,8.1,3.37,0.023,344,1.9,2.4,14.7,0.4,0.01,122.734,850.881,493.91,367.596,0.055,0.07
17-Dec,M5,낙단보,2.1,0.045348356,1.6,8.2,1.72,0.027,296,1.3,2.3,14.6,3.6,0.04,137.936,865.431,535.425,535.937,0.061,0.09
17-Dec,M6,해평,2,0.03909341,2,8,3.94,0.03,307,1.1,2.6,11.6,1.6,0.06,143.189,808.559,403.58,568.619,0.052,0.07
17-Dec,M7,구미,2.2,0.043706433,3.7,8.1,2.1,0.071,422,1.6,2.7,13.5,5.4,0.16,138.959,832.108,408.973,269.967,0.065,0.077
17-Dec,M8,왜관,2.3,0.051525115,4.4,8.2,0.96,0.073,937,1.6,2.2,14,3.4,0.23,160.251,858.148,635.007,656.439,0.066,0.078
17-Dec,M9,고령(취),2.5,0.054261654,5,8.2,2.27,0.069,414,1.2,2.2,11.7,2.2,0.08,182.52,869.617,696.281,663.18,0.071,0.079
17-Dec,M10,달성,2.5,0.056685445,3.2,7.8,3.34,0.07,415,1.3,2,13.9,1.6,0.15,199.07,946.074,716.969,564.807,0.073,0.081
17-Dec,M11,고령,3.1,0.069742644,4.7,8.2,1.77,0.095,720,1.6,2.8,13.5,3.4,0.15,209.298,1011.27,684.984,428.452,0.093,0.107
17-Dec,M12,용산,2.6,0.054418027,3.4,8,0.99,0.065,548,0.5,2.5,13.8,2.4,0.04,177.731,914.457,490.748,460.669,0.071,0.084
17-Dec,M13,남지,2.6,0.054574401,3.2,8.2,1.1,0.083,532,1.5,2.6,14.1,1.8,0.08,194.84,783.468,593.538,428.219,0.074,0.081
17-Dec,M14,본포,2.7,0.056216324,5,7.9,5.4,0.093,497,0.9,2.5,11.6,2.4,0.04,225.523,793.108,642.259,350.209,0.079,0.09
17-Dec,M15,삼량진,2.6,0.057154566,3.4,8.3,0.15,0.118,625,0.8,2.7,14.1,5.6,0.11,238.494,972.65,503.905,357.136,0.092,0.089
17-Dec,M16,물금,2.7,0.054261654,4.3,8.3,1.02,0.097,260,1.6,2.6,13.4,3.6,0.04,265.737,842.027,627.383,331.706,0.07,0.085
17-Dec,M17,구포,2.7,0.05731094,5.5,8.3,1.54,0.099,418,1.2,1.8,13,2.6,0.07,269.921,867.769,640.679,352.58,0.077,0.085
17-Dec,M18,하구둑,3.1,0.065207809,5.2,8,0.56,0.247,586,0.5,2,11.7,1.2,0.13,306.416,1079.117,559.647,391.074,0.125,0.084
17-Dec,T1,위천6,,0,,,,,,,,,,,,,,,,
17-Dec,T2,감천2-1,2.1,0.049023137,1.8,8,2.27,0.038,1201,1.5,2.2,15,3.8,0.14,139.563,717.391,494.654,412.366,0.044,0.053
17-Dec,T3,금호강,3.8,0.103206603,3.4,8.2,2.25,0.172,1811,1.6,2.9,14.3,2.8,0.3,217.899,1065.179,1119.851,622.78,0.111,0.103
17-Dec,T4,회천,2.9,0.064269567,4.1,8.1,1.34,0.088,600,1.4,2.1,13.9,3,0.06,223.431,1037.61,602.51,377.917,0.089,0.093
17-Dec,T5,황강,1.4,0.022205057,1.7,7.7,2.21,0.018,203,1,2,14.7,6.4,0.02,96.839,475.244,331.241,224.64,0.039,0.063
17-Dec,T6,밀양강3,1.5,0.02681808,2.2,7.7,2,0.247,356,1.5,2.6,14.1,2.8,0.47,134.449,461.173,226.592,238.308,0.066,0.034
18-Jan,M1,안동호,1.9,0.040969894,3.2,7.1,2.21,0.013,207,1.3,3.2,12,1.4,0.01,130.544,879.291,460.716,212.32,0.051,0.11
18-Jan,M2,임하호,3.5,0.111728967,3.2,6.7,2.51,0.005,216,2.3,4.8,11.4,0.7,0.01,160.483,1791.381,816.364,325.662,0.104,0.228
18-Jan,M3,예천,,0.05066506,,,,,,,,,,,144.119,895.734,541.283,489.075,,
18-Jan,M4,상주,,0.044644675,,,,,,,,,,,122.734,850.881,493.91,367.596,,
18-Jan,M5,낙단보,1.9,0.049335884,3.4,8.3,1.98,0.027,611,2.9,3.9,14.2,6.3,0.06,152.115,754.78,490.33,287.355,0.059,0.013
18-Jan,M6,해평,1.9,0.034011267,2,7.7,3.6,0.03,310,2.2,3.7,11.7,1,0.03,142.631,783.504,466.202,295.212,0.042,0.095
18-Jan,M7,구미,2.3,0.048163082,3.8,8.1,2.83,0.054,241,3.5,4.6,13.7,1.7,0.2,185.914,828.25,605.951,352.115,0.067,0.137
18-Jan,M8,왜관,2.4,0.047693961,2.3,8.1,1.67,0.061,483,2.4,5.4,14.6,2.5,0.31,175.593,874.742,586.75,330.311,0.073,0.143
18-Jan,M9,고령(취),2.3,0.044801048,3,8,2.03,0.078,363,3.1,4.6,11.7,1.7,0.16,235.983,823.639,572.106,367.411,0.081,0.13
18-Jan,M10,달성,2.4,0.054887148,3.4,8.3,3.75,0.078,521,2.1,3.3,15.1,1.5,0.16,252.441,831.438,619.665,357.415,0.078,0.145
18-Jan,M11,고령,3,0.064816874,3.2,8.2,2.01,0.112,756,2,4.4,14.1,0.9,0.16,299.07,941.193,789.726,524.361,0.093,0.16
18-Jan,M12,용산,2.2,0.047693961,3.3,8.3,2,0.085,540,1.3,2.9,14.8,0.6,0.03,224.919,853.03,504.603,392.004,0.061,0.101
18-Jan,M13,남지,2.5,0.051759675,3.9,8.6,2.5,0.116,536,1.1,5,14.5,1.4,0.21,336.355,855.953,625.058,485.123,0.087,0.14
18-Jan,M14,본포,2.4,0.031743849,2.4,8.1,4.51,0.125,511,2.2,5.6,11.5,1.2,0.11,240.958,853.976,492.701,367.457,0.079,0.098
18-Jan,M15,삼량진,2.4,0.050821433,3.1,8.3,3,0.126,528,1.9,4.2,13.5,1.4,0.1,303.208,940.186,585.309,459.926,0.083,0.129
18-Jan,M16,물금,2.5,0.058952863,2.3,8,2.41,0.162,586,1.5,4.4,14.2,1.6,0.07,315.342,990.037,594.979,313.668,0.094,0.136
18-Jan,M17,구포,2.5,0.060672973,4.2,8.4,2,0.162,564,1.9,5,14.5,2.4,0.18,304.556,984.379,564.296,394.468,0.094,0.12
18-Jan,M18,하구둑,,0.065207809,,,,,,,,,,,306.416,1079.117,559.647,391.074,,
18-Jan,T1,위천6,,0,,,,,,,,,,,,,,,,
18-Jan,T2,감천2-1,2.1,0.048710389,3,8,1.55,0.04,512,2.6,4.2,13.7,0.6,0.42,129.754,649.628,512.273,383.914,0.059,0.144
18-Jan,T3,금호강,3.9,0.103988472,3.9,8.1,3.66,0.147,1316,0.8,1.9,14.7,1.2,0.33,301.767,1027.938,1187.866,688.285,0.107,0.17
18-Jan,T4,회천,2.7,0.063096764,2.3,8.1,1.02,0.125,754,2.3,4.1,14.9,1.8,0.14,243.515,880.542,750.488,488.47,0.078,0.116
18-Jan,T5,황강,1.3,0.025879838,6.6,7.9,2,0.021,209,1.4,2.2,13.2,1,0.02,100.93,537.383,302.232,260.205,0.031,0.062
18-Jan,T6,밀양강3,1.6,0.031509289,3.2,7.9,2.51,0.241,635,1.3,4.3,13.5,1.2,0.42,173.082,545.348,299.163,310.972,0.065,0.054
18-Feb,M1,안동호,2,0.052306983,3.93,7.1,3.62,0.016,225,0.9,3.5,12.2,0.4,0.01,270.246,988.808,576.29,514.784,0.063,0.098
18-Feb,M2,임하호,3.5,0.102111988,4.57,7.3,3.93,0.013,221,2.1,5.6,12,0.9,0.02,315.574,2115.667,848.303,1303.859,0.114,0.217
18-Feb,M3,예천,2.4,0.040735334,4.1,8.1,2.54,0.023,332,1.3,4.4,13.1,0.1,0.13,368.061,919.34,697.397,941.33,0.034,0.056
18-Feb,M4,상주,,0.044644675,,,,,,,,,,,122.734,850.881,493.91,367.596,,
18-Feb,M5,낙단보,2.1,0.049414071,4.7,8.8,2.59,0.025,320,1.1,4.1,16.4,1.9,0.05,382.938,860.186,604.231,1055.509,0.064,0.118
18-Feb,M6,해평,1.9,0.045817477,5,8.1,4.5,0.028,302,1.4,3.8,9.9,1.3,0.07,302.603,778.995,598.977,588.563,0.07,0.107
18-Feb,M7,구미,2.3,0.048163082,6.4,8.4,2.06,0.043,400,1.3,4.7,13,3.1,0.26,383.264,867.897,693.724,1325.848,0.082,0.115
18-Feb,M8,왜관,2.4,0.053401599,5.4,8.3,1.51,0.059,525,1.4,4.8,13.8,2.8,0.2,373.129,892.959,750.163,1289.354,0.087,0.121
18-Feb,M9,고령(취),2.5,0.059187423,5,8.3,3.3,0.061,369,1.9,4.7,10.9,2.7,0.07,476.801,896.887,736.634,910.367,0.084,0.126
18-Feb,M10,달성,2.6,0.061063907,6.2,8.3,3.44,0.075,495,2.2,5.6,14.5,3.4,0.16,484.658,941.048,869.41,695.955,0.075,0.127
18-Feb,M11,고령,2.8,0.064269567,6.8,7.8,1.26,0.099,633,2.7,6.1,14.2,3.9,0.3,349.837,921.982,905.951,1111.623,0.092,0.125
18-Feb,M12,용산,2.4,0.063096764,5.4,8.5,1.33,0.102,589,1.7,3.8,14.6,2.2,0.12,238.773,908.437,673.361,709.577,0.069,0.102
18-Feb,M13,남지,2,0.053948906,4.9,8.6,1.52,0.108,460,1.8,3.6,14.5,1,0.3,253.603,778.545,543.282,1511.715,0.066,0.083
18-Feb,M14,본포,2.6,0.065207809,5.7,8.2,3.76,0.123,310,1.1,4.6,9.9,1.7,0.25,608.973,942.17,657.229,523.57,0.083,0.111
18-Feb,M15,삼량진,2.4,0.058796489,4.4,8.1,1.93,0.185,440,2,5,14.3,2.5,0.19,258.624,923.46,667.922,560.53,0.093,0.097
18-Feb,M16,물금,2.4,0.055747203,5.1,8.4,1.54,0.175,641,1.9,4.5,14.6,1.1,0.16,309.159,926.353,699.024,657.369,0.087,0.094
18-Feb,M17,구포,2.7,0.066536984,6.6,9,1.66,0.188,595,1.8,4.9,14.9,2,0.21,363.087,883.577,860.065,568.945,0.098,0.112
18-Feb,M18,하구둑,2.7,0.063487698,6.5,7.7,0.92,0.552,308,3.4,9.5,8.8,0.7,0.19,355.184,854.647,900.697,599.721,0.139,0.122
18-Feb,T1,위천6,,0,,,,,,,,,,,,,,,,
18-Feb,T2,감천2-1,2.2,0.053088851,6.5,7.8,1.83,0.049,721,1.4,5.8,12.6,2.1,0.46,189.679,706.943,723.384,825.151,0.079,0.115
18-Feb,T3,금호강,3.6,0.094552115,7.8,8.2,1.78,0.166,1098,2.6,6.9,14.3,3.7,0.46,463.645,1638.297,1538.308,1562.39,0.132,0.166
18-Feb,T4,회천,2.8,0.076846693,5.6,8.5,1.33,0.122,815,1.4,4.9,14.7,2.8,0.13,337.657,1097.438,819.433,1947.001,0.097,0.121
18-Feb,T5,황강,1.3,0.025482171,8.3,8.1,2.08,0.025,190,1.5,2.1,12.6,0.3,0,190.981,462.43,406.416,565.597,0.026,0.041
18-Feb,T6,밀양강3,1.3,0.026739893,6.6,8.1,1.71,0.437,840,1,2.5,12.6,1.5,0.48,122.315,574.536,217.713,980.009,0.069,0.044
18-Mar,M1,안동호,2.3,0.048084895,11,8,1.08,0.016,154,0.6,3.4,8.3,0.4,0.01,208.229,906.421,538.587,942.678,0.07,0.089
18-Mar,M2,임하호,3.9,0.107850415,10.3,7.7,2.03,0.012,153,0.4,5.2,8.6,0.3,0.01,232.589,1877.4,977.452,1396.746,0.092,0.122
18-Mar,M3,예천,2.7,0.074433853,9.9,7.9,0.97,0.022,360,0.8,5.1,12.1,2.5,0.01,365.551,1198.598,746.165,569.038,0.069,0.088
18-Mar,M4,상주,3,0.102268362,8.6,7.8,0.85,0.019,221,2.1,6.1,11.2,6,0.01,521.943,1332.121,833.426,394.189,0.081,0.105
18-Mar,M5,낙단보,2.4,0.050508686,8.4,8.4,2.54,0.027,280,2,4.9,13.8,1.4,0.12,288.749,852.318,637.889,259.554,0.07,0.076
18-Mar,M6,해평,2,0.048632203,7,7.2,15.82,0.027,284,1.7,4.9,10,3.6,0.01,244.584,807.286,571.037,1566.667,0.067,0.094
18-Mar,M7,구미,2,0.05238517,8.6,8.5,1.99,0.034,326,1.2,5.4,13.1,2.9,0.08,299.489,828.19,619.526,1931.706,0.058,0.075
18-Mar,M8,왜관,2.2,0.044410114,8.7,8.2,2.01,0.046,423,2.5,5.1,12.8,3.8,0.2,268.201,768.354,710.925,437.099,0.069,0.064
